tid,attribute,correct_val
44,sensor2,44.31
44,sensor33,37.76
45,sensor2,44.31
45,sensor33,38.02
46,sensor2,44.31
46,sensor33,37.76
47,sensor2,44.31
47,sensor33,37.76
48,sensor2,44.27
48,sensor33,38.02
49,sensor2,44.27
49,sensor33,38.02
50,sensor2,44.31
50,sensor33,37.76
51,sensor2,44.31
51,sensor33,37.76
52,sensor2,44.31
52,sensor33,38.28
53,sensor2,44.31
53,sensor33,39.06
54,sensor2,44.31
54,sensor33,38.8
54,sensor34,80.47
55,sensor2,44.36
55,sensor33,38.02
55,sensor34,78.65
56,sensor2,44.36
56,sensor33,37.5
56,sensor34,80.99
57,sensor2,44.36
57,sensor33,36.72
57,sensor34,82.03
58,sensor2,44.36
58,sensor33,36.46
58,sensor34,82.03
59,sensor2,44.36
59,sensor33,36.46
59,sensor34,79.69
60,sensor2,44.44
60,sensor33,35.42
60,sensor34,76.04
61,sensor2,44.44
61,sensor33,35.42
61,sensor34,76.04
62,sensor2,44.44
62,sensor33,35.68
62,sensor34,75.52
63,sensor2,44.44
63,sensor33,35.42
63,sensor34,76.04
64,sensor2,44.44
64,sensor33,35.16
64,sensor34,77.08
65,sensor2,44.49
65,sensor33,35.16
65,sensor34,79.43
66,sensor2,44.49
66,sensor33,35.42
66,sensor34,79.95
67,sensor2,44.49
67,sensor33,35.42
67,sensor34,82.03
68,sensor2,44.49
68,sensor33,36.46
68,sensor34,84.38
69,sensor2,44.49
69,sensor33,36.46
69,sensor34,85.16
70,sensor2,44.53
70,sensor33,36.72
70,sensor34,84.38
71,sensor2,44.53
71,sensor33,36.46
71,sensor34,84.64
72,sensor2,44.53
72,sensor33,36.2
72,sensor34,82.03
73,sensor2,44.53
73,sensor33,35.68
73,sensor34,79.17
74,sensor34,76.04
75,sensor34,73.44
76,sensor1,52.26
76,sensor34,70.57
77,sensor1,52.26
77,sensor34,69.27
78,sensor1,52.17
78,sensor34,69.27
79,sensor1,52.17
79,sensor34,69.01
80,sensor1,52.17
80,sensor34,71.35
81,sensor1,52.17
81,sensor34,75.78
82,sensor1,52.13
82,sensor34,77.86
83,sensor1,52.26
83,sensor34,82.29
84,sensor1,52.17
84,sensor34,84.84
85,sensor1,52.17
85,sensor34,85.64
86,sensor1,52.17
86,sensor34,86.36
87,sensor1,52.17
87,sensor34,87.33
88,sensor1,52.17
88,sensor34,91.67
89,sensor1,52.13
89,sensor34,93.49
90,sensor1,52.17
90,sensor34,97.4
91,sensor1,52.13
91,sensor34,101.56
92,sensor1,52.17
92,sensor34,102.08
93,sensor1,52.17
93,sensor34,98.96
94,sensor1,52.26
94,sensor34,98.18
95,sensor1,52.26
95,sensor34,98.7
96,sensor1,52.17
96,sensor34,100.0
97,sensor1,52.13
97,sensor34,103.39
98,sensor1,52.17
98,sensor34,105.21
99,sensor1,52.17
99,sensor34,105.21
100,sensor1,52.17
100,sensor34,103.91
101,sensor1,52.13
101,sensor34,102.86
102,sensor1,52.13
102,sensor34,100.0
103,sensor1,52.08
103,sensor34,97.92
104,sensor1,52.17
104,sensor34,96.61
105,sensor1,52.17
105,sensor34,95.05
106,sensor1,52.13
106,sensor34,92.97
107,sensor1,52.17
107,sensor34,90.89
108,sensor1,52.08
108,sensor34,90.36
109,sensor1,52.13
109,sensor34,89.58
110,sensor1,52.13
110,sensor34,87.76
111,sensor1,52.13
111,sensor34,87.76
112,sensor1,52.08
112,sensor34,82.55
113,sensor1,52.13
113,sensor34,80.99
114,sensor1,52.08
114,sensor34,79.43
115,sensor1,52.13
115,sensor34,78.12
116,sensor1,52.04
116,sensor34,77.34
117,sensor1,52.08
117,sensor34,76.56
118,sensor1,52.08
118,sensor34,75.26
119,sensor1,52.08
119,sensor34,72.92
120,sensor1,52.04
120,sensor34,76.82
121,sensor1,52.04
121,sensor34,76.82
122,sensor1,52.04
122,sensor34,83.11
123,sensor1,52.08
123,sensor34,88.8
322,sensor0,47.4
322,sensor34,66.93
323,sensor0,47.35
323,sensor34,65.1
324,sensor0,47.35
324,sensor34,63.8
325,sensor0,47.35
325,sensor34,62.24
326,sensor0,47.31
326,sensor34,61.46
327,sensor0,47.31
327,sensor34,63.8
328,sensor0,47.31
328,sensor34,66.41
329,sensor0,47.27
329,sensor34,66.93
330,sensor0,47.27
330,sensor34,66.41
331,sensor0,47.27
331,sensor34,65.62
332,sensor0,47.27
332,sensor34,63.8
333,sensor0,47.18
333,sensor34,62.5
423,sensor33,33.07
423,sensor34,67.71
424,sensor33,33.59
424,sensor34,68.23
425,sensor33,33.85
425,sensor34,67.45
426,sensor33,34.38
426,sensor34,65.62
427,sensor33,34.9
427,sensor34,63.8
428,sensor33,34.9
428,sensor34,61.46
429,sensor33,34.38
429,sensor34,59.9
430,sensor33,34.38
430,sensor34,58.59
431,sensor33,33.85
431,sensor34,56.51
432,sensor33,33.59
432,sensor34,55.21
433,sensor33,32.81
433,sensor34,54.95
454,sensor32,46.09
454,sensor33,29.69
455,sensor32,46.88
455,sensor33,29.69
456,sensor32,47.4
456,sensor33,29.17
457,sensor32,47.14
457,sensor33,28.91
458,sensor32,46.09
458,sensor33,28.91
459,sensor32,45.83
459,sensor33,28.91
460,sensor32,46.09
460,sensor33,28.91
461,sensor32,45.83
461,sensor33,29.17
462,sensor32,45.31
462,sensor33,29.69
463,sensor32,45.31
463,sensor33,29.69
464,sensor32,45.31
464,sensor33,29.69
465,sensor32,45.31
465,sensor33,29.17
466,sensor32,45.31
466,sensor33,28.91
467,sensor32,44.79
467,sensor33,28.91
468,sensor32,44.79
468,sensor33,28.65
469,sensor32,44.01
469,sensor33,28.65
470,sensor32,43.49
470,sensor33,28.65
551,sensor1,49.78
551,sensor2,43.79
552,sensor1,49.74
552,sensor2,43.79
553,sensor1,49.74
553,sensor2,43.79
554,sensor1,49.74
554,sensor2,43.79
555,sensor1,49.74
555,sensor2,43.79
556,sensor1,49.78
556,sensor2,43.79
557,sensor1,49.78
557,sensor2,43.79
558,sensor1,49.74
558,sensor2,43.79
559,sensor1,49.78
559,sensor2,43.79
560,sensor1,49.87
560,sensor2,43.84
561,sensor1,49.87
561,sensor2,43.84
562,sensor1,49.78
562,sensor2,43.84
563,sensor1,49.78
563,sensor2,43.84
564,sensor1,49.87
564,sensor2,43.84
565,sensor1,49.87
565,sensor2,43.84
566,sensor1,49.87
566,sensor2,43.84
567,sensor1,49.87
567,sensor2,43.84
568,sensor1,49.91
568,sensor2,43.84
569,sensor1,49.91
569,sensor2,43.84
570,sensor1,49.78
570,sensor2,43.84
571,sensor1,49.87
571,sensor2,43.84
572,sensor1,49.87
572,sensor2,43.84
573,sensor1,49.91
573,sensor2,43.84
574,sensor1,49.91
574,sensor2,43.84
585,sensor0,46.48
585,sensor2,43.84
586,sensor0,46.48
586,sensor2,43.84
587,sensor0,46.48
587,sensor2,43.84
588,sensor0,46.48
588,sensor2,43.84
589,sensor0,46.48
589,sensor2,43.84
590,sensor0,46.53
590,sensor2,43.84
591,sensor0,46.53
591,sensor2,43.84
592,sensor0,46.53
592,sensor2,43.84
593,sensor0,46.53
593,sensor2,43.84
594,sensor0,46.53
594,sensor2,43.84
595,sensor0,46.48
595,sensor2,43.84
596,sensor0,46.53
596,sensor2,43.84
597,sensor0,46.53
597,sensor2,43.84
598,sensor0,46.53
598,sensor2,43.84
599,sensor0,46.53
599,sensor2,43.84
600,sensor0,46.53
600,sensor2,43.84
601,sensor0,46.53
601,sensor2,43.84
602,sensor0,46.53
602,sensor2,43.84
603,sensor0,46.53
603,sensor2,43.84
604,sensor0,46.53
604,sensor2,43.84
642,sensor32,43.49
642,sensor33,31.51
643,sensor32,42.97
643,sensor33,31.54
644,sensor32,43.49
644,sensor33,31.49
645,sensor32,44.27
645,sensor33,31.35
646,sensor32,44.53
646,sensor33,31.22
647,sensor32,44.53
647,sensor33,31.1
648,sensor32,45.57
648,sensor33,31.04
649,sensor32,47.4
649,sensor33,31.51
650,sensor32,50.82
650,sensor33,30.99
651,sensor32,51.42
651,sensor33,30.99
652,sensor32,51.93
652,sensor33,30.99
653,sensor32,52.36
653,sensor33,30.99
654,sensor32,52.71
654,sensor33,30.99
655,sensor32,52.92
655,sensor33,30.99
656,sensor32,53.0
656,sensor33,31.25
657,sensor32,52.99
657,sensor33,31.51
658,sensor32,52.91
658,sensor33,31.51
659,sensor32,52.73
659,sensor33,33.35
660,sensor32,52.48
660,sensor33,33.43
661,sensor32,52.18
661,sensor33,33.36
662,sensor32,51.9
662,sensor33,33.28
663,sensor32,53.65
663,sensor33,33.19
664,sensor32,52.34
664,sensor33,33.08
665,sensor32,51.82
665,sensor33,32.86
666,sensor32,51.04
666,sensor33,32.56
667,sensor32,50.52
667,sensor33,32.28
668,sensor32,50.0
668,sensor33,32.02
669,sensor32,49.22
669,sensor33,32.81
670,sensor32,48.7
670,sensor33,31.77
671,sensor32,49.74
671,sensor33,31.25
672,sensor32,50.78
672,sensor33,31.25
673,sensor32,49.74
673,sensor33,30.47
674,sensor32,48.18
674,sensor33,30.21
675,sensor32,45.91
675,sensor33,29.95
676,sensor32,44.53
676,sensor33,29.69
677,sensor32,44.01
677,sensor33,29.69
678,sensor32,42.97
678,sensor33,29.95
679,sensor32,41.93
679,sensor33,30.47
680,sensor32,40.89
680,sensor33,30.21
681,sensor32,40.36
681,sensor33,29.95
906,sensor0,47.27
906,sensor33,31.77
907,sensor0,47.27
907,sensor33,32.29
908,sensor0,47.27
908,sensor33,32.29
909,sensor0,47.27
909,sensor33,31.77
910,sensor0,47.27
910,sensor33,31.77
911,sensor0,47.27
911,sensor33,31.77
912,sensor0,47.27
912,sensor33,32.29
913,sensor0,47.27
913,sensor33,32.29
914,sensor0,47.27
914,sensor33,31.77
915,sensor0,47.27
915,sensor33,31.77
916,sensor0,47.27
916,sensor33,31.51
917,sensor0,47.27
917,sensor33,31.25
918,sensor0,47.27
918,sensor33,31.25
919,sensor0,47.31
919,sensor33,31.25
920,sensor0,47.27
920,sensor33,31.25
921,sensor0,47.27
921,sensor33,31.51
922,sensor0,47.31
922,sensor33,31.77
923,sensor0,47.31
923,sensor33,32.29
924,sensor0,47.31
924,sensor33,32.55
925,sensor0,47.31
925,sensor33,32.81
926,sensor0,47.31
926,sensor33,33.07
927,sensor0,47.31
927,sensor33,33.85
928,sensor0,47.31
928,sensor33,35.21
929,sensor0,47.31
929,sensor33,35.32
958,sensor1,50.09
958,sensor34,105.73
959,sensor1,50.09
959,sensor34,107.81
960,sensor1,50.17
960,sensor34,106.77
961,sensor1,50.17
961,sensor34,106.77
962,sensor1,50.13
962,sensor34,110.42
963,sensor1,50.17
963,sensor34,112.24
964,sensor1,50.17
964,sensor34,110.42
965,sensor1,50.13
965,sensor34,107.81
966,sensor1,50.17
966,sensor34,103.91
967,sensor1,50.22
967,sensor34,100.26
989,sensor0,47.48
989,sensor1,50.22
990,sensor0,47.48
990,sensor1,50.35
991,sensor0,47.48
991,sensor1,50.3
992,sensor0,47.48
992,sensor1,50.3
993,sensor0,47.48
993,sensor1,50.35
994,sensor0,47.53
994,sensor1,50.35
995,sensor0,47.53
995,sensor1,50.35
996,sensor0,47.48
996,sensor1,50.35
997,sensor0,47.53
997,sensor1,50.35
998,sensor0,47.53
998,sensor1,50.35
999,sensor0,47.53
999,sensor1,50.39
1000,sensor0,47.53
1000,sensor1,50.35
1001,sensor0,47.53
1001,sensor1,50.35
1002,sensor0,47.53
1002,sensor1,50.3
1003,sensor0,47.53
1003,sensor1,50.35
1161,sensor0,47.92
1161,sensor2,43.45
1162,sensor0,47.92
1162,sensor2,43.49
1163,sensor0,47.74
1163,sensor2,43.49
1164,sensor0,47.92
1164,sensor2,43.49
1165,sensor0,47.92
1165,sensor2,43.58
1166,sensor0,47.92
1166,sensor2,43.58
1167,sensor0,47.92
1167,sensor2,43.58
1168,sensor0,47.92
1168,sensor2,43.62
1169,sensor0,47.83
1169,sensor2,43.62
1170,sensor0,47.83
1170,sensor2,43.66
1171,sensor0,47.83
1171,sensor2,43.66
1172,sensor0,47.83
1172,sensor2,43.66
1173,sensor0,47.83
1173,sensor2,43.71
1174,sensor0,47.83
1174,sensor2,43.71
1191,sensor2,43.92
1191,sensor33,29.17
1192,sensor2,43.92
1192,sensor33,29.17
1193,sensor2,43.92
1193,sensor33,28.91
1194,sensor2,43.92
1194,sensor33,28.91
1195,sensor2,43.92
1195,sensor33,28.91
1196,sensor2,43.92
1196,sensor33,30.21
1197,sensor2,43.92
1197,sensor33,31.25
1198,sensor2,44.01
1198,sensor33,31.25
1199,sensor2,44.01
1199,sensor33,30.99
1200,sensor0,47.79
1200,sensor2,44.05
1200,sensor33,30.21
1201,sensor0,47.79
1201,sensor2,44.05
1201,sensor33,30.21
1202,sensor0,47.79
1202,sensor2,44.05
1202,sensor33,29.95
1203,sensor0,47.79
1203,sensor2,44.05
1203,sensor33,29.95
1204,sensor0,47.79
1204,sensor1,50.61
1204,sensor2,44.05
1204,sensor33,30.21
1205,sensor0,47.57
1205,sensor1,50.61
1205,sensor2,44.05
1205,sensor33,30.21
1206,sensor0,47.79
1206,sensor1,50.61
1206,sensor2,44.1
1206,sensor33,30.99
1207,sensor0,47.79
1207,sensor1,50.56
1207,sensor2,44.1
1207,sensor33,30.47
1208,sensor0,47.79
1208,sensor1,50.61
1208,sensor2,44.1
1208,sensor33,30.21
1209,sensor0,47.7
1209,sensor1,50.61
1209,sensor2,44.1
1209,sensor33,29.95
1210,sensor0,47.79
1210,sensor1,50.61
1210,sensor2,44.1
1210,sensor33,29.69
1211,sensor0,47.79
1211,sensor1,50.61
1211,sensor2,44.1
1211,sensor33,29.69
1212,sensor0,47.79
1212,sensor1,50.65
1212,sensor2,44.1
1212,sensor33,29.17
1213,sensor0,47.79
1213,sensor1,50.61
1213,sensor2,44.1
1213,sensor33,29.69
1214,sensor0,47.79
1214,sensor1,50.65
1214,sensor2,44.1
1214,sensor33,29.95
1215,sensor0,47.79
1215,sensor1,50.74
1215,sensor2,44.1
1215,sensor33,29.95
1216,sensor0,47.79
1216,sensor1,50.65
1216,sensor2,44.14
1216,sensor33,30.47
1217,sensor0,47.79
1217,sensor1,50.65
1217,sensor2,44.14
1217,sensor33,31.77
1218,sensor0,47.79
1218,sensor1,50.65
1218,sensor2,44.1
1218,sensor33,32.81
1219,sensor0,47.74
1219,sensor1,50.61
1219,sensor2,44.14
1219,sensor33,32.29
1220,sensor0,47.83
1220,sensor1,50.65
1220,sensor2,44.1
1220,sensor33,31.51
1221,sensor0,47.83
1221,sensor1,50.65
1221,sensor2,44.1
1221,sensor33,30.99
1222,sensor0,47.83
1222,sensor1,50.65
1222,sensor2,44.1
1222,sensor33,30.47
1223,sensor0,47.83
1223,sensor1,50.61
1223,sensor2,44.05
1223,sensor33,30.21
1224,sensor0,47.79
1224,sensor2,44.05
1224,sensor33,30.47
1225,sensor0,47.83
1225,sensor2,44.01
1225,sensor33,30.47
1226,sensor0,47.83
1226,sensor2,44.01
1226,sensor33,30.47
1227,sensor0,47.83
1227,sensor2,44.01
1227,sensor33,30.99
1228,sensor0,47.83
1228,sensor2,44.01
1228,sensor33,30.99
1229,sensor0,47.83
1229,sensor2,44.01
1229,sensor33,30.99
1230,sensor0,47.83
1230,sensor2,44.05
1230,sensor33,30.99
1231,sensor0,47.83
1231,sensor2,44.05
1231,sensor33,30.99
1232,sensor0,47.83
1232,sensor2,44.05
1232,sensor33,30.47
1233,sensor0,47.83
1234,sensor0,47.83
1235,sensor0,47.83
1236,sensor0,47.83
1442,sensor32,46.61
1442,sensor33,36.2
1443,sensor32,46.88
1443,sensor33,36.46
1444,sensor32,46.61
1444,sensor33,36.2
1445,sensor32,46.09
1445,sensor33,35.42
1446,sensor32,46.88
1446,sensor33,35.16
1447,sensor32,47.92
1447,sensor33,36.2
1448,sensor32,49.22
1448,sensor33,36.72
1449,sensor32,51.04
1449,sensor33,37.5
1450,sensor32,48.17
1450,sensor33,37.76
1451,sensor32,48.06
1451,sensor33,37.5
1452,sensor32,49.74
1452,sensor33,37.5
1453,sensor32,48.44
1453,sensor33,36.46
1454,sensor32,48.18
1454,sensor33,35.42
1455,sensor32,47.92
1455,sensor33,34.38
1456,sensor32,47.92
1456,sensor33,34.11
1457,sensor32,47.92
1457,sensor33,33.85
1467,sensor1,51.09
1467,sensor33,34.38
1468,sensor1,51.09
1468,sensor33,34.38
1469,sensor1,51.04
1469,sensor33,35.56
1470,sensor1,51.04
1470,sensor33,35.48
1471,sensor1,51.09
1471,sensor33,35.34
1472,sensor1,51.09
1472,sensor33,35.2
1473,sensor1,51.04
1473,sensor33,34.99
1474,sensor1,51.09
1474,sensor33,34.7
1475,sensor1,51.04
1475,sensor33,34.4
1476,sensor1,51.04
1476,sensor33,35.16
1477,sensor1,51.0
1477,sensor33,34.11
1478,sensor1,51.04
1478,sensor33,33.59
1479,sensor1,51.04
1479,sensor33,33.59
1480,sensor1,51.0
1480,sensor33,33.59
1481,sensor1,51.04
1481,sensor33,33.07
1482,sensor1,51.0
1482,sensor33,32.81
1483,sensor1,51.04
1483,sensor33,32.55
1484,sensor1,51.0
1484,sensor33,32.55
1485,sensor1,51.0
1485,sensor33,32.55
1486,sensor1,51.0
1486,sensor33,32.29
1487,sensor1,51.0
1487,sensor33,31.51
1488,sensor1,51.0
1488,sensor33,31.25
1511,sensor0,48.35
1511,sensor1,50.78
1512,sensor0,48.35
1512,sensor1,50.82
1513,sensor0,48.35
1513,sensor1,50.87
1514,sensor0,48.35
1514,sensor1,50.78
1515,sensor0,48.35
1515,sensor1,50.82
1516,sensor0,48.39
1516,sensor1,50.82
1517,sensor0,48.39
1517,sensor1,50.82
1518,sensor0,48.39
1518,sensor1,50.87
1519,sensor0,48.39
1519,sensor1,50.82
1520,sensor0,48.39
1520,sensor1,50.82
1521,sensor0,48.39
1521,sensor1,50.82
1522,sensor0,48.39
1522,sensor1,50.87
1523,sensor0,48.39
1523,sensor1,50.87
1524,sensor0,48.39
1524,sensor1,50.78
1525,sensor0,48.39
1525,sensor1,50.87
1525,sensor2,44.1
1525,sensor33,33.07
1526,sensor0,48.39
1526,sensor1,50.82
1526,sensor2,44.05
1526,sensor33,33.59
1527,sensor0,48.44
1527,sensor1,50.87
1527,sensor2,44.05
1527,sensor33,33.85
1528,sensor0,48.44
1528,sensor1,50.87
1528,sensor2,44.01
1528,sensor33,34.11
1529,sensor0,48.44
1529,sensor1,50.87
1529,sensor2,44.01
1529,sensor33,34.9
1530,sensor0,48.44
1530,sensor1,50.82
1530,sensor2,44.01
1530,sensor33,35.16
1531,sensor0,48.44
1531,sensor1,50.95
1531,sensor2,44.05
1531,sensor33,35.42
1532,sensor0,48.44
1532,sensor1,50.87
1532,sensor2,44.05
1532,sensor33,35.42
1533,sensor0,48.44
1533,sensor1,50.95
1533,sensor2,44.05
1533,sensor33,35.68
1534,sensor0,48.48
1534,sensor1,50.82
1534,sensor2,44.1
1534,sensor33,35.68
1535,sensor0,48.48
1535,sensor1,50.95
1535,sensor2,44.1
1535,sensor33,35.68
1536,sensor0,48.48
1536,sensor1,50.87
1536,sensor2,44.1
1536,sensor33,35.42
1537,sensor0,48.48
1537,sensor1,51.0
1537,sensor2,44.1
1537,sensor33,35.68
1538,sensor0,48.48
1538,sensor1,50.87
1538,sensor2,44.1
1538,sensor33,36.46
1539,sensor0,48.48
1539,sensor1,51.0
1539,sensor2,44.1
1539,sensor33,36.98
1540,sensor0,48.48
1540,sensor1,50.95
1540,sensor2,44.1
1540,sensor33,36.98
1541,sensor0,48.48
1541,sensor1,50.87
1541,sensor2,44.14
1541,sensor33,36.72
1542,sensor0,48.48
1542,sensor1,50.95
1542,sensor2,44.1
1542,sensor33,36.46
1543,sensor0,48.57
1543,sensor1,50.95
1543,sensor2,44.1
1543,sensor33,36.2
1544,sensor0,48.57
1544,sensor1,51.0
1544,sensor2,44.1
1544,sensor33,35.42
1545,sensor0,48.57
1545,sensor1,51.0
1545,sensor2,44.05
1545,sensor33,35.42
1546,sensor0,48.57
1546,sensor1,51.0
1546,sensor2,44.01
1546,sensor33,35.42
1547,sensor0,48.57
1547,sensor1,50.87
1547,sensor2,43.92
1547,sensor33,35.16
1548,sensor0,48.57
1548,sensor1,50.95
1548,sensor2,43.88
1548,sensor33,34.9
1549,sensor0,48.61
1549,sensor1,51.0
1549,sensor2,43.84
1549,sensor33,34.38
1550,sensor0,48.61
1550,sensor1,50.95
1550,sensor2,43.84
1550,sensor33,34.11
1551,sensor0,48.61
1551,sensor1,51.0
1552,sensor0,48.57
1552,sensor1,51.0
1553,sensor0,48.61
1553,sensor1,51.0
1554,sensor0,48.61
1554,sensor1,51.04
1555,sensor0,48.65
1555,sensor1,51.04
1596,sensor0,48.57
1596,sensor33,34.11
1597,sensor0,48.57
1597,sensor33,34.11
1598,sensor0,48.57
1598,sensor33,34.38
1599,sensor0,48.57
1599,sensor33,34.9
1600,sensor0,48.57
1600,sensor33,35.16
1601,sensor0,48.57
1601,sensor33,35.16
1602,sensor0,48.57
1602,sensor33,35.16
1603,sensor0,48.57
1603,sensor33,34.9
1604,sensor0,48.57
1604,sensor33,34.11
1605,sensor0,48.61
1605,sensor33,33.85
1606,sensor0,48.61
1606,sensor33,33.59
1607,sensor0,48.61
1607,sensor33,33.59
1608,sensor0,48.61
1608,sensor33,33.07
1609,sensor0,48.57
1609,sensor33,33.07
1610,sensor0,48.61
1610,sensor33,32.81
1611,sensor0,48.61
1611,sensor33,32.81
1612,sensor0,48.57
1612,sensor33,33.07
1613,sensor0,48.57
1613,sensor33,32.81
1614,sensor0,48.48
1614,sensor33,33.07
1615,sensor0,48.57
1615,sensor33,33.59
1616,sensor0,48.57
1616,sensor33,33.59
1617,sensor0,48.57
1617,sensor33,33.59
1618,sensor0,48.44
1618,sensor33,33.59
1619,sensor0,48.57
1619,sensor33,33.85
1620,sensor0,48.48
1620,sensor2,44.53
1620,sensor33,34.9
1621,sensor0,48.48
1621,sensor2,44.53
1621,sensor33,34.9
1622,sensor0,48.48
1622,sensor2,44.53
1622,sensor33,34.38
1623,sensor0,48.48
1623,sensor2,44.57
1623,sensor33,34.11
1624,sensor0,48.48
1624,sensor2,44.57
1624,sensor33,34.11
1625,sensor0,48.48
1625,sensor2,44.66
1625,sensor33,33.07
1626,sensor0,48.48
1626,sensor2,44.66
1626,sensor33,32.81
1627,sensor0,48.48
1627,sensor2,44.66
1627,sensor33,32.81
1628,sensor0,48.44
1628,sensor2,44.7
1628,sensor33,32.81
1629,sensor0,48.39
1629,sensor2,44.7
1629,sensor33,33.07
1630,sensor0,48.44
1630,sensor2,44.75
1630,sensor33,34.35
1631,sensor0,48.44
1631,sensor2,44.75
1631,sensor33,35.68
1632,sensor0,48.44
1632,sensor2,44.79
1632,sensor33,36.2
1633,sensor0,48.39
1633,sensor2,44.79
